Period,Z1.0_Return,Z1.5_Return,Difference,Z1.0_Trades,Z1.5_Trades,Z1.0_Drawdown,Z1.5_Drawdown
2023-06-17 to 2025-06-16,22.43576414987576,4.1218078318675,18.31395631800826,129,73,-25.053110386964132,-34.69200156684849
2023-05-25 to 2025-05-24,19.240313376180456,0.06852005701686721,19.171793319163587,124,70,-25.053110386964132,-34.69200156684849
2023-02-10 to 2025-02-09,24.092001942948702,15.063442579624189,9.028559363324513,95,57,-13.758288049414425,-12.799802546288227
