start_date,end_date,return_pct,final_value,max_drawdown,sharpe_ratio,num_trades,avg_deployed
2021-10-28,2023-10-28,-8.114457316401005,9188.5542683599,-18.884862608131332,-0.2419054182672093,132,69.30232806446342
2024-01-21,2026-01-20,34.69749581379667,13469.749581379667,-17.303310796087374,1.1168017825901615,172,65.36218694718744
2022-07-03,2024-07-02,10.310776934076511,11031.077693407651,-15.39949696721799,0.40479446537438185,131,62.52650591483583
2023-12-24,2025-12-23,37.41400807443836,13741.400807443835,-17.307445798082856,1.1684728428044335,181,65.26526335221823
2023-10-10,2025-10-09,32.13077541182769,13213.077541182769,-17.321821202217127,1.027279444095391,161,60.21665429140947
2021-05-14,2023-05-14,-2.240740752497077,9775.925924750292,-18.87339874403743,-0.06512039290751187,145,68.72867124825302
2023-06-23,2025-06-22,16.38816628053253,11638.816628053253,-17.295503197418284,0.5218213723762428,138,65.49617388954626
2023-12-17,2025-12-16,37.65294137206256,13765.294137206256,-17.31525877864079,1.1680567346875252,182,64.97522579829906
2023-02-01,2025-01-31,25.70804163067392,12570.804163067392,-9.744840030304575,1.059883206467349,154,62.378800712236895
2023-06-08,2025-06-07,17.804400135761718,11780.440013576172,-17.31345995584336,0.5584665479968551,141,65.01862914072738
