start_date,end_date,return_pct,final_value,max_drawdown,sharpe_ratio,num_trades,avg_deployed
2021-10-28,2023-10-28,-9.893261618079595,9010.67383819204,-19.438561875117543,-0.30148631221109273,167,70.73764939871643
2024-01-21,2026-01-20,29.14723164632211,12914.72316463221,-18.581659132944196,0.9229557486194646,194,65.95397146703853
2022-07-03,2024-07-02,4.676051930055619,10467.605193005562,-15.39949696721799,0.18640534251169483,161,64.0513324946777
2023-12-24,2025-12-23,31.713868734446603,13171.38687344466,-18.448972950933946,0.9800016421541499,197,64.77465326646505
2023-10-10,2025-10-09,28.734523169869064,12873.452316986906,-18.350993236263143,0.8948988093934528,184,61.757603587800624
2021-05-14,2023-05-14,-4.59447279423006,9540.552720576994,-19.42287411786106,-0.13520379231702453,162,69.84516871313275
2023-06-23,2025-06-22,12.52458093157742,11252.458093157742,-18.478464907492032,0.3902673568706097,160,65.78083708507525
2023-12-17,2025-12-16,32.362074460533,13236.2074460533,-18.351580929298,0.9861437995178336,204,66.15953917124945
2023-02-01,2025-01-31,18.119307376172856,11811.930737617286,-8.798661288238707,0.7725236742283189,186,64.30871148527328
2023-06-08,2025-06-07,14.582210861618988,11458.221086161899,-18.35125023993339,0.4464723299743491,169,65.48574582859574
