Strategy,Avg Return %,Best Sector,Best Return %,Worst Sector,Worst Return %,Avg Drawdown %,Best Drawdown %,Avg Sharpe,Avg Win Rate %,Total Trades
"11 Sectors (StdDev, Equal Weight)",15.618863330061128,VDE,34.34474606198861,VAW,0.9034762161728577,-16.11125680403689,-4.185279599186057,0.5815772521970407,73.88253160980433,241
VOO (Buy & Hold),36.78893341768968,VOO,36.78893341768968,VOO,36.78893341768968,-18.97031878896855,-18.97031878896855,1.0312347604755592,N/A,1
