period,lev_return,lev_value,lev_drawdown,lev_sharpe,lev_trades,voo_return,voo_value,voo_pnl
2022-04-20 to 2024-04-19,-5.859076605225182,9414.092339477482,-9.595653664831085,-2.304472849248471,9,-0.6960663296008898,9930.393367039911,-69.60663296008897
2022-10-19 to 2024-10-18,24.98168366083988,12498.168366083988,-11.297688104199652,1.8204040746573977,63,17.253262199123437,11725.326219912344,1725.3262199123437
2022-09-22 to 2024-09-21,21.871825366461852,12187.182536646185,-11.297688104199652,1.7534909755083943,57,14.311897513572221,11431.189751357222,1431.1897513572221
2023-08-10 to 2025-08-09,35.92004633226477,13592.004633226477,-25.053110386964132,0.7890111093806323,152,27.809897513172693,12780.98975131727,2780.989751317269
2024-02-02 to 2026-02-01,68.94991372642515,16894.991372642515,-25.053110386964132,1.2238823159199608,218,38.82475263275619,13882.475263275619,3882.475263275619
2023-05-28 to 2025-05-27,20.06723174067356,12006.723174067356,-25.053110386964132,0.4831794875583562,124,18.558121871472178,11855.812187147218,1855.8121871472176
