period,start,end,return,value,drawdown,sharpe,trades,invested_pct,pnl
2023-04-22 to 2025-04-21,2023-04-22,2025-04-21,2.9559586955569648,10295.595869555696,-25.053110386964132,0.07575747327749636,113,65.41209450767334,295.5958695556965
2023-07-31 to 2025-07-30,2023-07-31,2025-07-30,33.91386344017814,13391.386344017814,-25.053110386964132,0.7544079920817772,145,60.42485677439486,3391.386344017814
2023-11-05 to 2025-11-04,2023-11-05,2025-11-04,43.734092949122335,14373.409294912233,-25.053110386964132,0.8548212804171055,180,62.296959078274824,4373.409294912233
2024-02-04 to 2026-02-03,2024-02-04,2026-02-03,67.98053499074435,16798.053499074435,-25.053110386964132,1.2018109264112533,218,62.2475807232455,6798.0534990744345
